member_id,purchase_id,purchase_time_stamp,branch_id,item_code,quantity,final_price
USfj8kCre1Icoq7lSVeIjQ==,ivCAbTdSNhrkQWVM41JpXg==,2018-09-03T10:17:15,I4cze6HgsCSbqQ9VsrolIQ==,/tMzktOkiqFJqHo4uHW6Sg==,1,25
USfj8kCre1Icoq7lSVeIjQ==,kCqtm7rVUtW46mGfa1kdgw==,2018-09-16T10:57:02,I4cze6HgsCSbqQ9VsrolIQ==,/tMzktOkiqFJqHo4uHW6Sg==,1,25
1JRkll6SdknT+hN3ymccnw==,J7eFevKd/x/u4siYNO+GwQ==,2018-09-05T15:02:54,uMN+M9795Rz5Hh4D5RZX2g==,Sbi0+V8C4FWAHaO09Y4otw==,1,65
1JRkll6SdknT+hN3ymccnw==,J7eFevKd/x/u4siYNO+GwQ==,2018-09-05T15:02:54,uMN+M9795Rz5Hh4D5RZX2g==,Sbi0+V8C4FWAHaO09Y4otw==,1,65
1JRkll6SdknT+hN3ymccnw==,J7eFevKd/x/u4siYNO+GwQ==,2018-09-05T15:02:54,uMN+M9795Rz5Hh4D5RZX2g==,tUiK7/QoiRiNA8mJUlXOzA==,1,59
1JRkll6SdknT+hN3ymccnw==,J7eFevKd/x/u4siYNO+GwQ==,2018-09-05T15:02:54,uMN+M9795Rz5Hh4D5RZX2g==,tUiK7/QoiRiNA8mJUlXOzA==,1,59
D+JlQ0S3X+0k+kRNssgaKQ==,WtRQ7sVihPRVUnOp8747fA==,2018-09-13T20:06:54,06ubQfmCIq17X/ioIhcnlg==,DIzlUWMFXE2lCoHgonNGjA==,2,44
mveuip+NvHtMmu7aA6WGdA==,CKHz5Q6u+0xuIq5nz8ElZQ==,2018-09-09T10:00:09,/tMzktOkiqFJqHo4uHW6Sg==,XL39Dfoio/ynJmN2iH9Umw==,1,18
mveuip+NvHtMmu7aA6WGdA==,CKHz5Q6u+0xuIq5nz8ElZQ==,2018-09-09T10:00:09,/tMzktOkiqFJqHo4uHW6Sg==,bQyTKAL2lT9w6yCTFkX6QA==,1,35
mveuip+NvHtMmu7aA6WGdA==,CKHz5Q6u+0xuIq5nz8ElZQ==,2018-09-09T10:00:09,/tMzktOkiqFJqHo4uHW6Sg==,lR/06YcoSJqzlJt3oRUH4g==,1,25
qwrtXTwFmWrtED6qYL4X9g==,GBZhdlUXh0cTqq6wlLOkuA==,2018-09-05T18:23:55,06ubQfmCIq17X/ioIhcnlg==,+6nYgWTz4tkQnudwIjISoA==,1,19
qwrtXTwFmWrtED6qYL4X9g==,GBZhdlUXh0cTqq6wlLOkuA==,2018-09-05T18:23:55,06ubQfmCIq17X/ioIhcnlg==,+6nYgWTz4tkQnudwIjISoA==,1,19
qwrtXTwFmWrtED6qYL4X9g==,GBZhdlUXh0cTqq6wlLOkuA==,2018-09-05T18:23:55,06ubQfmCIq17X/ioIhcnlg==,f5daVsdh22UG7KCzfObshw==,1,27
qwrtXTwFmWrtED6qYL4X9g==,GBZhdlUXh0cTqq6wlLOkuA==,2018-09-05T18:23:55,06ubQfmCIq17X/ioIhcnlg==,f5daVsdh22UG7KCzfObshw==,1,27
EWFBkYt7Njg6Ddp2ao74jQ==,+/IvcBtZk//12G8vDHiQnw==,2018-09-07T14:35:07,06ubQfmCIq17X/ioIhcnlg==,1jBVPjKuIfsabfOccC0sXA==,1,39
EWFBkYt7Njg6Ddp2ao74jQ==,+/IvcBtZk//12G8vDHiQnw==,2018-09-07T14:35:07,06ubQfmCIq17X/ioIhcnlg==,hhWKazkkZwoy2tZbvEG9lQ==,1,39
LM0WwqKttfC2RulNN+8O6A==,T6lYQIE1jSkb2nG+kAYUlg==,2018-09-05T07:43:09,I4cze6HgsCSbqQ9VsrolIQ==,5x5c0Rm7xXlxZPsM1/2UpA==,1,0
LM0WwqKttfC2RulNN+8O6A==,T6lYQIE1jSkb2nG+kAYUlg==,2018-09-05T07:43:09,I4cze6HgsCSbqQ9VsrolIQ==,5x5c0Rm7xXlxZPsM1/2UpA==,1,0
LM0WwqKttfC2RulNN+8O6A==,HN7AsG3D7F1JJo5YftJa3A==,2018-09-07T08:33:45,I4cze6HgsCSbqQ9VsrolIQ==,g2kXFf3FuvIO0HQrC4V4Ww==,1,6
LM0WwqKttfC2RulNN+8O6A==,HN7AsG3D7F1JJo5YftJa3A==,2018-09-07T08:33:45,I4cze6HgsCSbqQ9VsrolIQ==,EkRh3NNXHmZ07E4OFAzCmA==,1,39
LM0WwqKttfC2RulNN+8O6A==,T6lYQIE1jSkb2nG+kAYUlg==,2018-09-05T07:43:09,I4cze6HgsCSbqQ9VsrolIQ==,2J86NZMcOGlWwaQCqOCZQQ==,1,22
LM0WwqKttfC2RulNN+8O6A==,T6lYQIE1jSkb2nG+kAYUlg==,2018-09-05T07:43:09,I4cze6HgsCSbqQ9VsrolIQ==,2J86NZMcOGlWwaQCqOCZQQ==,1,22
LM0WwqKttfC2RulNN+8O6A==,T6lYQIE1jSkb2nG+kAYUlg==,2018-09-05T07:43:09,I4cze6HgsCSbqQ9VsrolIQ==,odQ43nxgYJTHo3S42kQYrQ==,2,14
LM0WwqKttfC2RulNN+8O6A==,T6lYQIE1jSkb2nG+kAYUlg==,2018-09-05T07:43:09,I4cze6HgsCSbqQ9VsrolIQ==,odQ43nxgYJTHo3S42kQYrQ==,2,14
