member_id,reg_date,gender,age
BRbapNqMziLMX3KrqIqD8A==,12/9/2016,,
KgcTlbbTvR+fkv1zQXg2Pg==,10/13/2016,,
BjNQMvZMMtXdraAnUPltZg==,5/10/2018,,
76a4kZgR0lSQ3M9iL7+8kA==,9/28/2017,,
TC0jJx/y489zdtUsKjLg6A==,5/26/2017,,
mwqN7DqIsLJ+L8+zrokTDA==,8/2/2016,,
BomUP3pHx/sh0aQm5fgLGA==,11/19/2017,,
1ojw1N3xB6fkFwTrlNcxKg==,12/22/2017,,
Jp4q0BoJcPmC8prMJyHEBQ==,12/20/2016,,
ZdnbyT0vWqtHJRB4Cy4iEA==,8/11/2017,,
lRiMM+9K+L81mQiCb7LKzw==,11/8/2016,,
trx9gyo722a5qx8V36Ea7A==,5/24/2018,,
Zm9onnQ4A22Hd3g3j4FBZQ==,9/7/2016,,
xm+Z20cnpokuiyp9+deekA==,8/27/2017,,
tMilYYnXQHyWUY9NeiZh1A==,1/6/2017,,
CnsuBSKvDAxWws52M1Qx8w==,8/23/2016,,
6fa3NePhhWah3xcx/fqacw==,11/22/2016,,
lrTFFuMbMwiZ8ssWoeS/qg==,2/3/2017,,
JaDd4egKnuZ2r/FId3ttvg==,6/12/2018,,
+aDvhzCWCH8XAMzqmYzVFA==,8/23/2017,,
IxRKyJAYT62G4Pb6uDy9HQ==,2/27/2017,,
uKD8wr2l4nsdz+2FUUEwiA==,7/19/2018,,
WO+njQo65SXcjIVgUERVng==,10/18/2016,,
JAGkaunC83dC1rI6/s4GwQ==,8/23/2018,,
YtcZP2doiUs2LJ7ccKfwrg==,2/3/2017,,
1MBLtEUK3qyfYYdh0krmBw==,11/14/2016,,
tljbckoLdK4urtNR+Zl9AA==,9/14/2017,,
fA/+PHBcpJnZ2CC2YdOwtg==,9/20/2018,,
OpzbvPqwFutTowGPIxg39w==,10/3/2017,,
Qm2QbHusghh311ZKnBc2Nw==,10/1/2017,,
aRmytsbJty8duzx9WPHCxQ==,2/23/2017,,
NzGRsW4IMPueU+CK87jFbA==,1/22/2017,,
hXUUJrlvOtJattsULtF3+g==,5/16/2017,,
Ynd6NKhL88OCiz2/L5TfmA==,1/12/2017,,
6VurGoXb5kdpK02EAjmXCQ==,7/4/2017,,
xz8hTRpsqUWySRRaGacOGQ==,9/26/2016,,
0P3+261iGQfoXu3rxPcM3A==,8/26/2018,,
7Iih71h8xjrr5PoImFfxMw==,9/16/2018,,
sbAS8gNcKbjigVb9E11l0g==,11/2/2016,,
yjaASpkKQsuVg3QlZV7L5A==,8/8/2017,,
a7eGU3lrDAe+3dtsRLYCCQ==,9/27/2018,,
YgFS+hZBwxDXLrI/gQBWOg==,9/14/2016,,
lDXy33dkp9nDtq8CoUAvRg==,3/5/2018,,
gBBGdZYBNtPY5/IGwQeITA==,12/7/2017,,
850DaTu7zKHmkEGluWTq2A==,10/27/2016,,
ahXsMyxon1sDNn1FwChBCg==,11/30/2017,,
MOxH6e7qcYFwnp5mwut28w==,3/22/2017,,
xiBxRDoXHRs7KvGGKprSDg==,9/5/2018,,
5SWSjjUTV2+fHjOXgmkGSA==,10/26/2016,,
hQvyYZhmPKnsAHgEGZTb/w==,7/21/2016,,
pgOiU3cxArI2bRIk03H87Q==,12/18/2016,,
GW7nRcsId3AhGzBCBLFTtA==,1/9/2017,,
/BfLYsaAAj6ES3UaflpFpQ==,11/22/2016,,
74oUGbDC86P4gz09DeLSiQ==,12/21/2016,,
5CjwSBvOv2InbvM1vc8erA==,1/2/2017,,
ukcvIm5PvxAce2x1pfsbqg==,11/8/2016,,
0uEjhHXFRDxHJL7387rBrw==,10/22/2017,,
RmxGW6ayriCGq15vb7Mdng==,5/26/2017,,
LjI/0dthc16hE4WfNNt0DA==,5/17/2018,,
o1mmu2tDU7GIY/dPHsiGtw==,2/26/2017,,
RDZfRSseBGxZ+r4ZCMuh7A==,8/7/2017,,
zfTUApcXd/qN+qrfuBBRaQ==,6/6/2018,,
ponvzrYJTYtUPbf7cpX3LA==,5/6/2018,???,
sHicjegSCn1G4x3Rbq+Xow==,4/12/2018,???,
XIv5WQrul75Ec7F3Lnt21A==,10/16/2017,???,
9mkCOR0kaPj+G5Cw3sXoMQ==,7/17/2017,???,
JyzUquCkwbC+f5ACZNnv8Q==,8/25/2017,???,
UrBNCsym6ClBF2R1Rgw02A==,1/30/2018,???,
FiJLwoQbNxIzxl6dGVkl3w==,8/22/2018,???,
byOCfdnBdxTJtJdmwGaY0Q==,11/10/2017,???,
edEBZjVE2nwqOr5lQfyuvw==,10/19/2018,???,
232XI867nr9EsYeY3qSdlw==,4/13/2018,???,
BCzp9W94oNputOuPf5TLrg==,1/26/2018,???,
PT192dQC8UODZoOJZeix6w==,5/31/2018,???,
BrWZ5P9Pggljah3Em3ZHRQ==,7/11/2017,???,
FYRz8yoIYJwp6I7diBI8Wg==,11/9/2017,???,
YXbom4IbTp8/TkxEKFRj8Q==,9/10/2017,???,57
YVn6SgWLAAdq79S6I2BMTg==,10/8/2017,???,
XEDyvwEz+YJPmWl/RL7aRA==,4/25/2017,???,
2LwtDy0DQeEvnicxTG7XhA==,5/29/2018,????,
KuOu5/M7ZRp+KyUWTjyIBg==,11/6/2017,????,
oGyKxxRYWgySoxnh9RiabQ==,4/16/2017,????,
jYzQZ7j+NYct1MScTSFsLg==,9/26/2017,????,
cQhiSWhMpE7e+g1PNiYTog==,8/20/2017,????,
/O3RyWChJ8bNanDNHaztlg==,5/17/2018,????,
qDLS4qVK+1nLoFW/FyaUsg==,9/5/2017,????,
i/Duk5F0sfeRBPX3SEXaRw==,7/9/2018,????,
hAKpyLRBKHUR0teFDEjSBw==,5/9/2018,????,
mc/1gC+lh7Tp/h9ID5KV2A==,9/19/2017,????,
q2ociWtbDXjd3JyGgl5FBQ==,4/28/2017,????,
7P4tBK3lt6C4fjf4PKMGOA==,9/13/2016,????,
dW3l3Ynf1Ijq9rytpuRbcg==,1/23/2018,????,
bV+tIfGNet7w02b6v8qCow==,8/28/2017,????,
E+kgw8kc3ByJfshUt4jmVw==,5/3/2018,????,
obmhplPBPXT26H41XP0kOA==,12/4/2017,????,
DQ7+9JIEj9I1mM5DT4vETw==,4/29/2017,????,
OwZgpTu6yGAU5xyQTFmp7g==,9/14/2018,????,
22a2We9blS1AMFfExBRHYw==,10/12/2018,????,
j+vur7A0Vi2QuFYQmFfduA==,1/25/2018,????,
XJ6PwQwYfKIbKo1CL/VmcA==,6/14/2018,????,
